=== BUDGET-LIMITED RUN: time_limit=28800s ===
start=1786082276
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 4460/200000 (2.2%)  ok=4460 fail=0  elapsed=5174s  eta=226823s
progress: 4480/200000 (2.2%)  ok=4480 fail=0  elapsed=5198s  eta=226856s
progress: 4500/200000 (2.2%)  ok=4500 fail=0  elapsed=5222s  eta=226870s
progress: 4520/200000 (2.3%)  ok=4520 fail=0  elapsed=5245s  eta=226856s
progress: 4540/200000 (2.3%)  ok=4540 fail=0  elapsed=5268s  eta=226802s
progress: 4560/200000 (2.3%)  ok=4560 fail=0  elapsed=5291s  eta=226787s
progress: 4580/200000 (2.3%)  ok=4580 fail=0  elapsed=5314s  eta=226745s
progress: 4600/200000 (2.3%)  ok=4600 fail=0  elapsed=5338s  eta=226747s
progress: 4620/200000 (2.3%)  ok=4620 fail=0  elapsed=5361s  eta=226709s
progress: 4640/200000 (2.3%)  ok=4640 fail=0  elapsed=5383s  eta=226633s
progress: 4660/200000 (2.3%)  ok=4660 fail=0  elapsed=5405s  eta=226572s
progress: 4680/200000 (2.3%)  ok=4680 fail=0  elapsed=5430s  eta=226601s
progress: 4700/200000 (2.4%)  ok=4700 fail=0  elapsed=5454s  eta=226632s
progress: 4720/200000 (2.4%)  ok=4720 fail=0  elapsed=5477s  eta=226604s
progress: 4740/200000 (2.4%)  ok=4740 fail=0  elapsed=5500s  eta=226561s
progress: 4760/200000 (2.4%)  ok=4760 fail=0  elapsed=5522s  eta=226495s
progress: 4780/200000 (2.4%)  ok=4780 fail=0  elapsed=5546s  eta=226506s
progress: 4800/200000 (2.4%)  ok=4800 fail=0  elapsed=5568s  eta=226443s
progress: 4820/200000 (2.4%)  ok=4820 fail=0  elapsed=5591s  eta=226405s
progress: 4840/200000 (2.4%)  ok=4840 fail=0  elapsed=5615s  eta=226397s
progress: 4860/200000 (2.4%)  ok=4860 fail=0  elapsed=5639s  eta=226407s
progress: 4880/200000 (2.4%)  ok=4880 fail=0  elapsed=5662s  eta=226395s
progress: 4900/200000 (2.5%)  ok=4900 fail=0  elapsed=5685s  eta=226346s
progress: 4920/200000 (2.5%)  ok=4920 fail=0  elapsed=5707s  eta=226300s
