=== BUDGET-LIMITED RUN: time_limit=21600s ===
start=1786192701
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 5600/200000 (2.8%)  ok=5600 fail=0  elapsed=4815s  eta=167138s
progress: 5620/200000 (2.8%)  ok=5620 fail=0  elapsed=4831s  eta=167088s
progress: 5640/200000 (2.8%)  ok=5640 fail=0  elapsed=4848s  eta=167068s
progress: 5660/200000 (2.8%)  ok=5660 fail=0  elapsed=4864s  eta=167001s
progress: 5680/200000 (2.8%)  ok=5680 fail=0  elapsed=4881s  eta=166977s
progress: 5700/200000 (2.9%)  ok=5700 fail=0  elapsed=4897s  eta=166926s
progress: 5720/200000 (2.9%)  ok=5720 fail=0  elapsed=4914s  eta=166895s
progress: 5740/200000 (2.9%)  ok=5740 fail=0  elapsed=4931s  eta=166879s
progress: 5760/200000 (2.9%)  ok=5760 fail=0  elapsed=4949s  eta=166893s
progress: 5780/200000 (2.9%)  ok=5780 fail=0  elapsed=4966s  eta=166870s
progress: 5800/200000 (2.9%)  ok=5800 fail=0  elapsed=4983s  eta=166831s
progress: 5820/200000 (2.9%)  ok=5820 fail=0  elapsed=5001s  eta=166856s
progress: 5840/200000 (2.9%)  ok=5840 fail=0  elapsed=5018s  eta=166832s
progress: 5860/200000 (2.9%)  ok=5860 fail=0  elapsed=5036s  eta=166837s
progress: 5880/200000 (2.9%)  ok=5880 fail=0  elapsed=5053s  eta=166807s
progress: 5900/200000 (2.9%)  ok=5900 fail=0  elapsed=5071s  eta=166828s
progress: 5920/200000 (3.0%)  ok=5920 fail=0  elapsed=5087s  eta=166779s
progress: 5940/200000 (3.0%)  ok=5940 fail=0  elapsed=5105s  eta=166784s
progress: 5960/200000 (3.0%)  ok=5960 fail=0  elapsed=5122s  eta=166744s
progress: 5980/200000 (3.0%)  ok=5980 fail=0  elapsed=5139s  eta=166738s
progress: 6000/200000 (3.0%)  ok=6000 fail=0  elapsed=5156s  eta=166719s
progress: 6020/200000 (3.0%)  ok=6020 fail=0  elapsed=5173s  eta=166699s
progress: 6040/200000 (3.0%)  ok=6040 fail=0  elapsed=5189s  eta=166630s
progress: 6060/200000 (3.0%)  ok=6060 fail=0  elapsed=5206s  eta=166616s
progress: 6080/200000 (3.0%)  ok=6080 fail=0  elapsed=5223s  eta=166599s
progress: 6100/200000 (3.0%)  ok=6100 fail=0  elapsed=5241s  eta=166582s
progress: 6120/200000 (3.1%)  ok=6120 fail=0  elapsed=5257s  eta=166540s
progress: 6140/200000 (3.1%)  ok=6140 fail=0  elapsed=5274s  eta=166530s
progress: 6160/200000 (3.1%)  ok=6160 fail=0  elapsed=5291s  eta=166486s
progress: 6180/200000 (3.1%)  ok=6180 fail=0  elapsed=5307s  eta=166446s
progress: 6200/200000 (3.1%)  ok=6200 fail=0  elapsed=5324s  eta=166424s
progress: 6220/200000 (3.1%)  ok=6220 fail=0  elapsed=5341s  eta=166405s
progress: 6240/200000 (3.1%)  ok=6240 fail=0  elapsed=5359s  eta=166397s
progress: 6260/200000 (3.1%)  ok=6260 fail=0  elapsed=5376s  eta=166395s
